p43	1840371.604	551288.446
p1	1837613.209	536680.265
p2	1837625.408	536678.197
p3	1837619.163	536665.801
p4	1837615.937	536674.511
p5	1837596.322	536657.068
p6	1837598.329	536721.557
p7	1837608.038	536725.235
p8	1837606.044	536731.035
p9	1837635.809	536741.893
p10	1837635.912	536741.762
p11	1837638.901	536733.779
p12	1837639.437	536733.878
p13	1837644.973	536735.316
p14	1837657.892	536699.604
p15	1837652.468	536697.122
p16	1837655.124	536689.162
p17	1837608.66	536755.186
p18	1837629.846	536762.689
p19	1837617.41	536799.403
p20	1837589.019	536786.977
p21	1837564.809	536778.362
p22	1837567.626	536767.918
p23	1837575.147	536768.377
p24	1837582.528	536765.726
p25	1837580.163	536766.8
p26	1837593.297	536756.768
p27	1837598.863	536758.85
p28	1837587.624	536751.42
p29	1837586.501	536749.16
p30	1837572.404	536744.063
p31	1837569.003	536744.864
p32	1837565.835	536761.802
p33	1837563.872	536759.134
p34	1840216.641	551569.473
p35	1840243.532	551589.364
p36	1840228.867	551607.971
p37	1840212.469	551632.228
p38	1840305.418	551356.81
p39	1840335.85	551333.865
p40	1840360.572	551320.216
p41	1840369.437	551310.055
p42	1840370.962	551305.421
p44	1840379.819	551264.203
