Pt1,,551468.655,1837926.391,376.866
Pt2,,551468.654,1837926.391,376.865
Pt3,,551470.778,1837907.852,377.621
Pt4,,551470.803,1837907.909,377.620
Pt5,,551470.769,1837907.818,377.706
Pt6,,551470.770,1837907.818,377.698
Pt7,,551477.391,1837895.186,377.756
Pt8,,551477.400,1837895.179,377.755
Pt9,,551483.873,1837859.243,375.431
Pt10,,551483.878,1837859.263,375.420
Pt11,,551462.611,1837852.300,375.680
Pt12,,551462.616,1837852.303,375.718
Pt13,,551452.356,1837851.673,374.721
Pt14,,551452.357,1837851.666,374.714
Pt15,,551452.359,1837851.658,374.708
Pt16,,551452.357,1837851.654,374.695
Pt17,,551452.358,1837851.649,374.683
Pt18,,551452.360,1837851.644,374.668
Pt19,,551452.367,1837851.646,374.664
Pt20,,551451.105,1837867.723,375.483
Pt21,,551451.108,1837867.722,375.479
Pt22,,551451.110,1837867.723,375.473
Pt23,,551444.733,1837870.053,373.239
Pt24,,551444.743,1837870.056,373.235
Pt25,,551444.743,1837870.058,373.221
Pt26,,551444.747,1837870.059,373.215
Pt27,,551444.753,1837870.058,373.206
Pt28,,551444.462,1837874.879,373.236
Pt29,,551444.465,1837874.880,373.225
Pt30,,551444.468,1837874.881,373.209
Pt31,,551445.606,1837885.424,373.647
Pt32,,551445.613,1837885.419,373.630
Pt33,,551445.618,1837885.419,373.643
Pt34,,551445.626,1837885.419,373.649
Pt35,,551450.237,1837893.810,375.253
Pt36,,551450.237,1837893.810,375.261
Pt37,,551450.239,1837893.813,375.255
Pt38,,551450.244,1837893.812,375.247
Pt39,,551450.154,1837899.413,374.723
Pt40,,551450.159,1837899.409,374.701
Pt41,,551450.178,1837899.397,374.686
Pt42,,551450.187,1837899.392,374.683
Pt43,,551453.777,1837919.648,374.536
Pt44,,551453.762,1837919.599,374.529
Pt45,,551455.134,1837925.530,375.238
Pt46,,551455.149,1837925.541,375.238
Pt47,,551455.160,1837925.541,375.240
Pt48,,551455.153,1837925.516,375.232
Pt49,,551455.163,1837925.508,375.229
Pt50,,551468.555,1837926.417,377.082
Pt51,,551468.550,1837926.409,377.081
Pt52,,551468.555,1837926.413,377.074
Pt53,,551468.559,1837926.415,377.076
Pt54,,551473.149,1837902.851,378.104
Pt55,,551473.139,1837902.853,378.091
Pt56,,551462.856,1837902.225,376.890
Pt57,,551462.870,1837902.239,376.914
Pt58,,551462.867,1837902.249,376.916
Pt59,,551552.106,1837958.706,385.113
Pt60,,551552.104,1837958.702,385.102
Pt61,,551548.811,1837967.662,385.154
Pt62,,551548.811,1837967.663,385.161
Pt63,,551548.814,1837967.660,385.155
Pt64,,551261.009,1837431.676,331.587
Pt65,,551261.019,1837431.666,331.579
Pt66,,551261.022,1837431.659,331.586
Pt67,,551273.934,1837423.581,333.074
Pt68,,551273.934,1837423.579,333.071
Pt69,,551281.328,1837421.932,334.766
Pt70,,551281.322,1837421.907,334.738
Pt71,,551291.446,1837421.865,338.641
Pt72,,551291.435,1837421.849,338.637
Pt73,,551296.963,1837419.945,341.185
Pt74,,551296.963,1837419.940,341.176
Pt75,,551313.303,1837407.688,349.451
Pt76,,551313.338,1837407.689,349.444
Pt77,,551312.477,1837402.512,350.454
Pt78,,551312.445,1837402.504,350.455
Pt79,,551308.874,1837397.206,350.072
Pt80,,551301.120,1837376.854,349.402
Pt81,,551301.182,1837376.830,349.403
Pt82,,551290.227,1837343.886,349.277
Pt83,,551290.221,1837343.911,349.269
Pt84,,551290.207,1837343.909,349.267
Pt85,,551290.199,1837343.920,349.272
Pt86,,551279.757,1837344.344,344.410
Pt87,,551279.774,1837344.349,344.403
Pt88,,551279.773,1837344.354,344.401
Pt89,,551262.632,1837350.557,335.413
Pt90,,551262.611,1837350.556,335.415
Pt91,,551262.612,1837350.552,335.417
Pt92,,551259.243,1837351.805,334.374
Pt93,,551259.233,1837351.819,334.369
Pt94,,551251.941,1837357.125,331.793
Pt95,,551251.950,1837357.129,331.791
Pt96,,551231.399,1837370.761,331.522
Pt97,,551231.375,1837370.781,331.520
Pt98,,551231.376,1837370.775,331.518
Pt99,,551220.248,1837378.108,332.588
Pt100,,551220.217,1837378.090,332.582
Pt101,,551248.844,1837415.711,331.335
Pt102,,551248.858,1837415.746,331.325
Pt103,,551248.849,1837415.762,331.318
Pt104,,551338.975,1838530.876,384.899
Pt105,,551338.970,1838530.882,384.899
Pt106,,551338.972,1838530.882,384.906
Pt107,,551333.283,1838527.182,384.305
Pt108,,551333.283,1838527.184,384.306
Pt109,,551333.285,1838527.183,384.308
Pt110,,551317.276,1838547.097,385.122
Pt111,,551317.292,1838547.081,385.104
Pt112,,551323.349,1838549.628,384.923
Pt113,,551323.363,1838549.643,384.918
Pt114,,551323.349,1838549.653,384.921
Pt115,,551323.336,1838549.657,384.941
Pt116,,551323.334,1838549.659,384.924
Pt117,,551323.335,1838549.654,384.925
Pt118,,551323.342,1838549.648,384.915
Pt119,,551323.348,1838549.638,384.922
Pt120,,552025.784,1839976.155,423.155
Pt121,,552025.772,1839976.144,423.145
Pt122,,552002.960,1839973.005,420.772
Pt123,,552002.945,1839973.016,420.850
Pt124,,552002.959,1839973.020,420.859
Pt125,,552006.007,1839961.050,420.601
Pt126,,552006.048,1839961.075,420.569
Pt127,,552026.264,1839964.061,423.644
Pt128,,552026.260,1839964.056,423.641
Pt129,,552026.260,1839964.057,423.639
Pt130,,552026.761,1839964.031,424.803
Pt131,,552026.760,1839964.036,424.798
Pt132,,551599.300,1839603.166,403.486
Pt133,,551599.302,1839603.174,403.481
Pt134,,551599.300,1839603.176,403.480
Pt135,,551606.495,1839604.012,403.658
Pt136,,551606.486,1839603.996,403.656
Pt137,,551606.493,1839603.988,403.654
Pt138,,551613.577,1839604.056,403.467
Pt139,,551613.576,1839604.068,403.462
Pt140,,551615.604,1839580.183,399.710
Pt141,,551615.596,1839580.178,399.707
Pt142,,551615.592,1839580.181,399.713
Pt143,,551608.602,1839580.320,399.281
Pt144,,551608.609,1839580.306,399.286
Pt145,,551605.794,1839559.363,396.661
Pt146,,551605.792,1839559.366,396.663
Pt147,,551604.693,1839563.382,397.404
Pt148,,551604.684,1839563.382,397.411
Pt149,,551601.120,1839575.371,399.558
Pt150,,551601.126,1839575.370,399.554
Pt151,,551601.129,1839575.369,399.552
Pt152,,551601.034,1839575.370,399.371
Pt153,,551601.032,1839575.378,399.373
Pt154,,551601.742,1839581.583,400.605
Pt155,,551601.740,1839581.582,400.608
Pt156,,551158.602,1838664.198,382.947
Pt157,,551158.599,1838664.200,382.950
Pt158,,551158.599,1838664.207,382.948
Pt159,,551153.559,1838676.323,383.002
Pt160,,551153.558,1838676.332,382.994
Pt161,,551151.254,1838678.396,382.836
Pt162,,551148.372,1838679.317,382.611
Pt163,,551129.687,1838675.730,381.144
Pt164,,551129.696,1838675.730,381.145
Pt165,,551148.722,1838679.549,382.535
Pt166,,551137.452,1838655.467,382.238
Pt167,,551137.451,1838655.468,382.237
Pt168,,551137.449,1838655.468,382.232
Pt169,,551435.909,1838743.510,387.159
Pt170,,551435.911,1838743.516,387.164
Pt171,,551444.747,1838747.452,387.022
Pt172,,551444.724,1838747.469,387.024
Pt173,,551457.929,1838726.164,389.779
Pt174,,551457.878,1838726.123,389.768
Pt175,,551457.846,1838726.093,389.791
Pt176,,551457.806,1838726.063,389.822
Pt177,,551457.757,1838726.009,389.820
Pt178,,551457.731,1838725.990,389.818
Pt179,,551448.148,1838722.921,387.289
Pt180,,551448.219,1838723.052,386.820
Pt181,,551448.359,1838723.161,386.296
